Account Number,Description,2023 ACTUAL,2024 ACTUAL,2025 BUDGET,2026 BUDGET
010-113-57300,ACTUARIAL SERVICES,"5,500.00","4,425.00","5,000.00","5,000.00"
010-113-57900,ANNUAL AUDIT,"40,000.00","40,000.00","40,000.00","57,000.00"
010-114-52000,GENERAL EXPENSES,0.00,0.00,400.00,400.00
010-122-51111,"SALARY, ELECTED","6,200.00","6,200.00","6,200.00","6,200.00"
010-122-52400,REPAIR AND MAINT,105.00,257.00,300.00,300.00
010-122-53010,ADVERTISING,738.00,820.00,750.00,750.00
010-122-57100,IN STATE TRAVEL,0.00,0.00,50.00,50.00
010-122-57101,MEETINGS AND SEMINARS,0.00,150.00,200.00,200.00
010-122-57300,DUES AND SUBSCRIPTIONS,659.00,927.00,"1,200.00","1,200.00"
010-123-51110,SALARY,"189,625.00","194,366.00","199,224.00","204,205.00"
010-123-51120,WAGES EXECUTIVE ASSISTANT,"59,674.00","61,166.00","67,121.00","69,135.00"
010-123-51130,DEFERRED COMP CONTRIBUTION,"11,378.00","11,662.00","11,953.00","12,252.00"
010-123-51380,"WAGES, LONGEVITY",0.00,0.00,0.00,800.00
010-123-52000,GENERAL EXPENSES,0.00,193.00,200.00,200.00
010-123-53000,PROFESSIONAL AND TECHNICAL,430.00,565.00,750.00,750.00
010-123-53010,ADVERTISING,380.00,550.00,500.00,500.00
010-123-54200,OFFICE SUPPLIES,200.00,0.00,200.00,200.00
010-123-57101,MEETINGS AND SEMINARS,"1,987.00","2,090.00","2,900.00","2,900.00"
010-123-57300,DUES AND SUBSCRIPTIONS,"1,400.00","1,259.00","1,300.00","1,300.00"
010-131-52000,GENERAL EXPENSES,184.00,200.00,200.00,200.00
010-132-59610,TRANSFER TO OTHER DEPARTMENTS,0.00,0.00,"30,000.00","30,000.00"
010-135-51110,SALARY - ACCOUNTANT/FIN DIRECTOR,"78,009.00","93,300.00","96,099.00","98,982.00"
010-135-51130,"WAGES, ACCOUNTING ASSISTANT","5,574.00","5,949.00","6,274.00","6,462.00"
010-135-51380,LONGEVITY,0.00,0.00,0.00,"1,000.00"
010-135-52000,GENERAL EXPENSES,0.00,395.00,0.00,0.00
010-135-57100,IN STATE TRAVEL,0.00,0.00,"1,000.00","1,000.00"
010-135-57101,MEETINGS AND SEMINARS,334.00,"1,077.00","3,000.00","3,000.00"
010-135-57300,DUES AND SUBSCRIPTIONS,0.00,0.00,"1,000.00","1,000.00"
010-138-53000,PROFESSIONAL AND TECHNICAL,-4.00,0.00,0.00,0.00
010-138-53410,POSTAGE,"18,071.00","19,537.00","20,500.00","22,200.00"
010-138-54200,OFFICE SUPPLIES,"6,944.00","7,860.00","8,000.00","8,000.00"
010-138-54210,PRINTING,"1,015.00",0.00,"1,000.00","2,100.00"
010-138-54250,TAX BILL PROCESSING,"14,484.00","14,951.00","14,000.00","14,000.00"
010-138-54810,GASOLINE,"143,660.00","104,149.00","150,000.00","150,000.00"
010-138-57710,"REPAIR, EQUIP & FURN",980.00,911.00,"1,000.00","1,000.00"
010-138-57900,CONTRACT SERVICES,"11,237.00","12,877.00","10,000.00","10,000.00"
010-141-51111,"SALARY, BOARD","12,899.00","11,306.00","13,632.00","14,051.00"
010-141-51115,SALARY HEAD ASSESSOR,"83,785.00","84,050.00","86,571.00","89,168.00"
010-141-51120,"WAGES, FULL-TIME CLERICAL","36,806.00","38,244.00","45,573.00","46,837.00"
010-141-51130,"WAGES, PART-TIME CLERICAL","3,590.00","3,610.00","4,119.00","4,231.00"
010-141-53000,PROFESSIONAL AND TECHNICAL,"32,116.00","39,654.00","35,504.00","38,274.00"
010-141-54200,OFFICE SUPPLIES,884.00,"1,037.00",800.00,"1,000.00"
010-141-57101,MEETINGS AND SEMINARS,"1,286.00","1,824.00","2,500.00","4,500.00"
010-141-57300,DUES AND SUBSCRIPTIONS,372.00,372.00,375.00,472.00
010-141-57900,CONTRACT SERVICES,"2,479.00",0.00,0.00,0.00
010-145-51710,TAX TITLE EXPENSES,169.00,"1,276.00","10,000.00","10,000.00"
010-145-52000,GENERAL EXPENSES,0.00,32.00,0.00,0.00
010-145-53000,PROFESSIONAL AND TECHNICAL,"4,070.00","4,820.00","7,082.00","7,265.00"
010-145-53021,BORROWING FEES,"2,000.00","2,250.00","2,950.00","2,950.00"
010-146-51110,SALARY,"77,158.00","79,087.00","86,571.00","89,168.00"
010-146-51120,WAGES FULL TIME,"55,099.00","56,238.00","62,538.00","65,791.00"
